geneid	genesymbol	genename	imageseriesid	plane	entrezgeneid	ncbiaccessionnumber
11227	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	1174	sagittal	11438	NM_015730
11227	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	77454722	sagittal	11438	NM_015730
11229	Chrna6	cholinergic receptor, nicotinic, alpha polypeptide 6	75551461	coronal	11440	NM_021369
11229	Chrna6	cholinergic receptor, nicotinic, alpha polypeptide 6	75551481	sagittal	11440	NM_021369
11229	Chrna6	cholinergic receptor, nicotinic, alpha polypeptide 6	75651213	coronal	11440	NM_021369
11230	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	69237107	sagittal	11441	NM_007390
11230	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	74511738	coronal	11441	NM_007390
11232	Chrnb1	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)	75831174	sagittal	11443	NM_009601
11232	Chrnb1	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)	75888752	coronal	11443	NM_009601
11232	Chrnb1	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)	77620387	sagittal	11443	NM_009601
11233	Chrnb2	cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)	2097	coronal	11444	NM_009602
11233	Chrnb2	cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)	2098	sagittal	11444	NM_009602
11236	Chrnd	cholinergic receptor, nicotinic, delta polypeptide	70593133	sagittal	11447	NM_021600
11236	Chrnd	cholinergic receptor, nicotinic, delta polypeptide	74988680	coronal	11447	NM_021600
11237	Chrne	cholinergic receptor, nicotinic, epsilon polypeptide	74634819	sagittal	11448	NM_009603
11237	Chrne	cholinergic receptor, nicotinic, epsilon polypeptide	75888738	coronal	11448	NM_009603
11238	Chrng	cholinergic receptor, nicotinic, gamma polypeptide	70593134	sagittal	11449	NM_009604
11238	Chrng	cholinergic receptor, nicotinic, gamma polypeptide	75551466	coronal	11449	NM_009604
11239	Adipoq	adiponectin, C1Q and collagen domain containing	68545033	sagittal	11450	NM_009605
11240	Acrv1	acrosomal vesicle protein 1	69514678	sagittal	11451	NM_007391
11248	Acta1	actin, alpha 1, skeletal muscle	60	coronal	11459	NM_009606
11248	Acta1	actin, alpha 1, skeletal muscle	61	sagittal	11459	NM_009606
11250	Actb	actin, beta, cytoplasmic	69514684	sagittal	11461	NM_007393
11250	Actb	actin, beta, cytoplasmic	74881516	coronal	11461	NM_007393
11253	Actc1	actin, alpha, cardiac	62	coronal	11464	NM_009608
11253	Actc1	actin, alpha, cardiac	63	sagittal	11464	NM_009608
11254	Actg1	actin, gamma, cytoplasmic 1	67792203	sagittal	11465	NM_009609
11256	Actg2	actin, gamma 2, smooth muscle, enteric	77620463	sagittal	11468	NM_009610
11258	Actl7a	actin-like 7a	70228699	sagittal	11470	NM_009611
11259	Actl7b	actin-like 7b	69514690	sagittal	11471	NM_025271
11260	Actn2	actinin alpha 2	70724523	sagittal	11472	NM_033268
11262	Actn3	actinin alpha 3	69514696	sagittal	11474	NM_013456
11263	Acta2	actin, alpha 2, smooth muscle, aorta	68743877	sagittal	11475	NM_007392
11263	Acta2	actin, alpha 2, smooth muscle, aorta	71213256	sagittal	11475	mCT21764.1
11265	Acvr1	activin A receptor, type 1	69514714	sagittal	11477	NM_007394
11267	Acvr1b	activin A receptor, type 1B	69514720	sagittal	11479	NM_007395
11268	Acvr2a	activin receptor IIA	74509464	sagittal	11480	NM_007396
11269	Acvr2b	activin receptor IIB	69514732	sagittal	11481	NM_007397
11270	Acvrl1	activin A receptor, type II-like 1	77454605	sagittal	11482	NM_009612
11270	Acvrl1	activin A receptor, type II-like 1	79488929	coronal	11482	NM_009612
11272	Aspa	aspartoacylase (aminoacylase) 2	68444720	sagittal	11484	NM_023113
11272	Aspa	aspartoacylase (aminoacylase) 2	77371803	coronal	11484	NM_023113
11272	Aspa	aspartoacylase (aminoacylase) 2	77793157	sagittal	11484	NM_023113
11274	Ada	adenosine deaminase	70528192	sagittal	11486	NM_007398
11275	Adam10	a disintegrin and metallopeptidase domain 10	69514738	sagittal	11487	NM_007399
11276	Adam11	a disintegrin and metallopeptidase domain 11	69837407	sagittal	11488	NM_009613
11277	Adam12	a disintegrin and metallopeptidase domain 12 (meltrin alpha)	75988236	sagittal	11489	NM_007400
11278	Adam15	a disintegrin and metallopeptidase domain 15 (metargidin)	392924	sagittal	11490	NM_009614
11279	Adam17	a disintegrin and metallopeptidase domain 17	75988237	sagittal	11491	NM_009615
11280	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta)	71495632	sagittal	11492	NM_009616
11280	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta)	74272054	coronal	11492	NM_009616
11282	Adam2	a disintegrin and metallopeptidase domain 2	69514762	sagittal	11495	NM_009618
11284	Adam3	a disintegrin and metallopeptidase domain 3 (cyritestin)	75860980	sagittal	11497	NM_009619
11285	Adam4	a disintegrin and metallopeptidase domain 4	69514774	sagittal	11498	NM_009620
11286	Adam5	a disintegrin and metallopeptidase domain 5	75988238	sagittal	11499	NM_007401
11287	Adam7	a disintegrin and metallopeptidase domain 7	76003378	sagittal	11500	NM_007402
11288	Adam8	a disintegrin and metallopeptidase domain 8	68498992	sagittal	11501	NM_007403
11289	Adam9	a disintegrin and metallopeptidase domain 9 (meltrin gamma)	76003388	sagittal	11502	NM_007404
11291	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	69	coronal	11504	NM_009621
11291	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	70	sagittal	11504	NM_009621
11299	Adcy6	adenylate cyclase 6	81	coronal	11512	NM_007405
11299	Adcy6	adenylate cyclase 6	82	sagittal	11512	NM_007405
11300	Adcy7	adenylate cyclase 7	2017	coronal	11513	NM_007406
11300	Adcy7	adenylate cyclase 7	2018	sagittal	11513	NM_007406
11300	Adcy7	adenylate cyclase 7	79488953	coronal	11513	NM_007406
11301	Adcy8	adenylate cyclase 8	74514237	sagittal	11514	NM_009623
11301	Adcy8	adenylate cyclase 8	77280540	coronal	11514	NM_009623
11302	Adcy9	adenylate cyclase 9	83	coronal	11515	NM_009624
11302	Adcy9	adenylate cyclase 9	84	sagittal	11515	NM_009624
11303	Adcyap1	adenylate cyclase activating polypeptide 1	70523740	sagittal	11516	NM_009625
11303	Adcyap1	adenylate cyclase activating polypeptide 1	74511882	coronal	11516	NM_009625
11304	Adcyap1r1	adenylate cyclase activating polypeptide 1 receptor 1	69236777	sagittal	11517	NM_007407
11304	Adcyap1r1	adenylate cyclase activating polypeptide 1 receptor 1	74988667	coronal	11517	NM_007407
11305	Add1	adducin 1 (alpha)	68631935	sagittal	11518	NM_013457
11306	Add2	adducin 2 (beta)	70230801	sagittal	11519	NM_013458
11307	Adfp	adipose differentiation related protein	75988239	sagittal	11520	NM_007408
11309	Adh1	alcohol dehydrogenase 1 (class I)	68341519	sagittal	11522	NM_007409
11316	Adh7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	68745384	sagittal	11529	NM_009626
11319	Adh5	alcohol dehydrogenase 5 (class III), chi polypeptide	75988241	sagittal	11532	NM_007410
11321	Adk	adenosine kinase	70928196	coronal	11534	NM_134079
11322	Adm	adrenomedullin	68667655	sagittal	11535	NM_009627
11322	Adm	adrenomedullin	74819251	coronal	11535	NM_009627
11323	Admr	adrenomedullin receptor	69236783	sagittal	11536	NM_007412
11324	Cfd	complement factor D (adipsin)	71764745	sagittal	11537	NM_013459
11325	Adnp	activity-dependent neuroprotective protein	70919764	sagittal	11538	TC1565934
11326	Adora1	adenosine A1 receptor	73496905	sagittal	11539	NM_009629
11327	Adora2a	adenosine A2a receptor	69855739	sagittal	11540	NM_009630
11327	Adora2a	adenosine A2a receptor	70813257	sagittal	11540	TC1517671
11327	Adora2a	adenosine A2a receptor	72109410	coronal	11540	TC1517671
11328	Adora2b	adenosine A2b receptor	69855773	sagittal	11541	NM_007413
11329	Adora3	adenosine A3 receptor	69236801	sagittal	11542	NM_009631
11331	Adprh	ADP-ribosylarginine hydrolase	71608214	sagittal	11544	NM_007414
11332	Parp1	poly (ADP-ribose) polymerase family, member 1	70429154	sagittal	11545	NM_007415
11333	Parp2	poly (ADP-ribose) polymerase family, member 2	69835612	sagittal	11546	NM_009632
11336	Adra1a	adrenergic receptor, alpha 1a	74277700	sagittal	11549	NM_013461
11336	Adra1a	adrenergic receptor, alpha 1a	75042247	coronal	11549	NM_013461
11337	Adra1d	adrenergic receptor, alpha 1d	69236807	sagittal	11550	NM_013460
11337	Adra1d	adrenergic receptor, alpha 1d	72119628	coronal	11550	NM_013460
11338	Adra2a	adrenergic receptor, alpha 2a	70723343	sagittal	11551	NM_007417
11338	Adra2a	adrenergic receptor, alpha 2a	73615550	coronal	11551	NM_007417
11339	Adra2b	adrenergic receptor, alpha 2b	69236813	sagittal	11552	NM_009633
11339	Adra2b	adrenergic receptor, alpha 2b	74724532	coronal	11552	NM_009633
11339	Adra2b	adrenergic receptor, alpha 2b	79762088	sagittal	11552	NM_009633
11340	Adra2c	adrenergic receptor, alpha 2c	70723357	sagittal	11553	NM_007418
11341	Adrb1	adrenergic receptor, beta 1	77340494	coronal	11554	NM_007419
11341	Adrb1	adrenergic receptor, beta 1	77904677	sagittal	11554	NM_007419
11342	Adrb2	adrenergic receptor, beta 2	68744522	sagittal	11555	NM_007420
11351	Adsl	adenylosuccinate lyase	641513	sagittal	11564	NM_009634
11352	Adssl1	adenylosuccinate synthetase like 1	71608530	sagittal	11565	NM_007421
11352	Adssl1	adenylosuccinate synthetase like 1	72104185	coronal	11565	NM_007421
11353	Adss	adenylosuccinate synthetase, non muscle	76003369	sagittal	11566	NM_007422
11354	Avil	advillin	69527692	sagittal	11567	NM_009635
11354	Avil	advillin	72340234	coronal	11567	NM_009635
11355	Aebp1	AE binding protein 1	69524398	sagittal	11568	NM_009636
11356	Aebp2	AE binding protein 2	68442859	sagittal	11569	NM_009637
11358	Crisp1	cysteine-rich secretory protein 1	68301921	sagittal	11571	NM_009638
11359	Crisp3	cysteine-rich secretory protein 3	67815965	sagittal	11572	NM_009639
11363	Afp	alpha fetoprotein	69524431	sagittal	11576	NM_007423
11382	Agc1	aggrecan 1	69524437	sagittal	11595	NM_007424
11382	Agc1	aggrecan 1	72128777	coronal	11595	NM_007424
11382	Agc1	aggrecan 1	77869840	coronal	11595	NM_007424
11383	Ager	advanced glycosylation end product-specific receptor	75988242	sagittal	11596	NM_007425
11387	Angpt1	angiopoietin 1	69526629	sagittal	11600	NM_009640
11388	Angpt2	angiopoietin 2	68633002	sagittal	11601	NM_007426
11389	Angpt4	angiopoietin 4	72471743	sagittal	11602	NM_009641
11390	Agrin	agrin	69524449	sagittal	11603	NM_021604
11390	Agrin	agrin	73925722	coronal	11603	NM_021604
11391	Agrp	agouti related protein	69524455	sagittal	11604	NM_007427
11391	Agrp	agouti related protein	72283799	coronal	11604	NM_007427
11392	Gla	galactosidase, alpha	71723943	sagittal	11605	NM_013463
11393	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	87	coronal	11606	NM_007428
11393	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	88	sagittal	11606	NM_007428
11394	Agtr1a	angiotensin II receptor, type 1a	2021	coronal	11607	NM_177322
11394	Agtr1a	angiotensin II receptor, type 1a	2022	sagittal	11607	NM_177322
11395	Agtr1b	angiotensin II receptor, type 1b	69236819	sagittal	11608	NM_175086
11395	Agtr1b	angiotensin II receptor, type 1b	74724627	coronal	11608	NM_175086
11396	Agtr2	angiotensin II receptor, type 2	71608203	sagittal	11609	NM_007429
11397	Agtrap	angiotensin II, type I receptor-associated protein	69028581	sagittal	11610	NM_009642
11398	Agxt	alanine-glyoxylate aminotransferase	68499075	sagittal	11611	NM_016702
11401	Nr0b1	nuclear receptor subfamily 0, group B, member 1	77464954	sagittal	11614	NM_007430
11409	Ahr	aryl-hydrocarbon receptor	71380375	sagittal	11622	NM_013464
11411	Ahrr	aryl-hydrocarbon receptor repressor	75988244	sagittal	11624	NM_009644
11412	Ahsg	alpha-2-HS-glycoprotein	68301306	sagittal	11625	NM_013465
11415	Aicda	activation-induced cytidine deaminase	70230885	sagittal	11628	NM_009645
11416	Aif1	allograft inflammatory factor 1	72081677	sagittal	11629	NM_019467
11416	Aif1	allograft inflammatory factor 1	75080249	coronal	11629	NM_019467
11417	Aim1	absent in melanoma 1	69526450	sagittal	11630	NM_172393
11417	Aim1	absent in melanoma 1	71250315	coronal	11630	NM_172393
11419	Aip	aryl-hydrocarbon receptor-interacting protein	69526456	sagittal	11632	NM_016666
11421	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	1327	coronal	11634	NM_009646
11421	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	1328	sagittal	11634	NM_009646
11423	Ak1	adenylate kinase 1	72710	sagittal	11636	NM_021515
11423	Ak1	adenylate kinase 1	83164	coronal	11636	NM_021515
11423	Ak1	adenylate kinase 1	70919352	sagittal	11636	TC1559973
11423	Ak1	adenylate kinase 1	77414110	coronal	11636	NM_021515
11424	Ak2	adenylate kinase 2	75694367	sagittal	11637	NM_016895
11426	Ak3l1	adenylate kinase 3 alpha-like 1	73497259	sagittal	11639	NM_009647
11426	Ak3l1	adenylate kinase 3 alpha-like 1	74641312	coronal	11639	NM_009647
11427	Akap1	A kinase (PRKA) anchor protein 1	75988245	sagittal	11640	NM_009648
11428	Akap2	A kinase (PRKA) anchor protein 2	1448	coronal	11641	NM_009649
11428	Akap2	A kinase (PRKA) anchor protein 2	1449	sagittal	11641	NM_009649
11429	Akap3	A kinase (PRKA) anchor protein 3	76080980	sagittal	11642	NM_009650
11434	Akp2	alkaline phosphatase 2, liver	73818804	sagittal	11647	NM_007431
11435	Akp3	alkaline phosphatase 3, intestine, not Mn requiring	70724565	sagittal	11648	NM_007432
11437	Akp5	alkaline phosphatase 5	68667545	sagittal	11650	NM_007433
11438	Akt1	thymoma viral proto-oncogene 1	75988255	sagittal	11651	NM_009652
11439	Akt2	thymoma viral proto-oncogene 2	70528216	sagittal	11652	NM_007434
11442	Alas1	aminolevulinic acid synthase 1	199198	sagittal	11655	NM_020559
11443	Alas2	aminolevulinic acid synthase 2, erythroid	71723851	sagittal	11656	NM_009653
11444	Alb1	albumin 1	68444982	sagittal	11657	NM_009654
11445	Alcam	activated leukocyte cell adhesion molecule	130155	sagittal	11658	NM_009655
11445	Alcam	activated leukocyte cell adhesion molecule	70928271	coronal	11658	NM_009655
11453	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	356086	coronal	11666	NM_007435
11453	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	76097712	sagittal	11666	NM_007435
11455	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1	69013627	sagittal	11668	NM_013467
11455	Aldh1a1	aldehyde dehydrogenase family 1, subfamily A1	72103809	coronal	11668	NM_013467
11456	Aldh2	aldehyde dehydrogenase 2, mitochondrial	70793905	sagittal	11669	TC1410512
11456	Aldh2	aldehyde dehydrogenase 2, mitochondrial	74819240	coronal	11669	NM_009656
11457	Aldh3a1	aldehyde dehydrogenase family 3, subfamily A1	75988265	sagittal	11670	NM_007436
11458	Aldh3a2	aldehyde dehydrogenase family 3, subfamily A2	68269266	sagittal	11671	NM_007437
11461	Aldoa	aldolase 1, A isoform	77620804	sagittal	11674	NM_007438
11463	Aldoc	aldolase 3, C isoform	275696	sagittal	11676	XM_126120
11463	Aldoc	aldolase 3, C isoform	71022960	sagittal	11676	mCT11955.1
11463	Aldoc	aldolase 3, C isoform	73512352	coronal	11676	mCT11955.1
11464	Akr1b3	aldo-keto reductase family 1, member B3 (aldose reductase)	70813922	coronal	11677	NM_009658
11464	Akr1b3	aldo-keto reductase family 1, member B3 (aldose reductase)	73834104	sagittal	11677	NM_009658
11469	Alk	anaplastic lymphoma kinase	73818805	sagittal	11682	NM_007439
11469	Alk	anaplastic lymphoma kinase	77371829	coronal	11682	NM_007439
11471	Alox12	arachidonate 12-lipoxygenase	69526558	sagittal	11684	NM_007440
11472	Alox12e	arachidonate lipoxygenase, epidermal	68076979	sagittal	11685	NM_145684
11473	Alox12b	arachidonate 12-lipoxygenase, 12R type	69526564	sagittal	11686	NM_009659
11473	Alox12b	arachidonate 12-lipoxygenase, 12R type	72128779	coronal	11686	NM_009659
11474	Alox15	arachidonate 15-lipoxygenase	75831772	sagittal	11687	NM_009660
11475	Alox8	arachidonate 8-lipoxygenase	73718055	coronal	11688	NM_009661
11475	Alox8	arachidonate 8-lipoxygenase	75694767	sagittal	11688	NM_009661
11477	Alox5ap	arachidonate 5-lipoxygenase activating protein	68744534	sagittal	11690	NM_009663
11479	Gfer	growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration)	71587721	sagittal	11692	NM_023040
11479	Gfer	growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration)	77800907	sagittal	11692	NM_023040
11481	Alx3	aristaless 3	77464960	sagittal	11694	NM_007441
11482	Alx4	aristaless 4	77454703	sagittal	11695	NM_007442
11485	Ambn	ameloblastin	69526576	sagittal	11698	NM_009664
11486	Ambp	alpha 1 microglobulin/bikunin	71723857	sagittal	11699	NM_007443
11489	Amd1	S-adenosylmethionine decarboxylase 1	75826627	sagittal	11702	NM_009665
11490	Amd2	S-adenosylmethionine decarboxylase 2	70230927	sagittal	11703	NM_007444
11491	Amelx	amelogenin X chromosome	68798412	sagittal	11704	NM_009666
11492	Amh	anti-Mullerian hormone	69526577	sagittal	11705	NM_007445
11504	Ampd3	AMP deaminase 3	67765723	sagittal	11717	NM_009667
11504	Ampd3	AMP deaminase 3	70919316	sagittal	11717	TC1559737
11504	Ampd3	AMP deaminase 3	77371807	coronal	11717	NM_009667
11507	Mat1a	methionine adenosyltransferase I, alpha	75826650	sagittal	11720	NM_133653
11510	Amy2	amylase 2, pancreatic	69526611	sagittal	11723	NM_009669
11514	Ang1	angiogenin, ribonuclease A family, member 1	70724571	sagittal	11727	NM_007447
11519	Ank	progressive ankylosis	68797954	sagittal	11732	NM_020332
11519	Ank	progressive ankylosis	75934916	coronal	11732	NM_020332
11520	Ank1	ankyrin 1, erythroid	69236610	sagittal	11733	NM_031158
11520	Ank1	ankyrin 1, erythroid	70560276	coronal	11733	NM_031158
11520	Ank1	ankyrin 1, erythroid	77924344	sagittal	11733	NM_031158
11522	Ank3	ankyrin 3, epithelial	68196979	sagittal	11735	NM_009670
11522	Ank3	ankyrin 3, epithelial	70795823	sagittal	11735	TC1462414
11522	Ank3	ankyrin 3, epithelial	74047925	coronal	11735	NM_009670
11523	Ankfy1	ankyrin repeat and FYVE domain containing 1	69288614	sagittal	11736	NM_009671
11524	Anp32a	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	94	coronal	11737	NM_009672
11524	Anp32a	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	95	sagittal	11737	NM_009672
11526	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4	68797490	sagittal	11739	XM_134169
11527	Slc25a5	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	2591	coronal	11740	NM_007451
11527	Slc25a5	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	2592	sagittal	11740	NM_007451
11531	Anxa11	annexin A11	2029	coronal	11744	NM_013469
11531	Anxa11	annexin A11	2030	sagittal	11744	NM_013469
11531	Anxa11	annexin A11	77464938	sagittal	11744	NM_013469
11532	Anxa3	annexin A3	69526665	sagittal	11745	NM_013470
11532	Anxa3	annexin A3	72283800	coronal	11745	NM_013470
11533	Anxa4	annexin A4	69014548	sagittal	11746	NM_013471
11533	Anxa4	annexin A4	70436730	coronal	11746	NM_013471
11534	Anxa5	annexin A5	1155	sagittal	11747	NM_009673
11534	Anxa5	annexin A5	77454635	sagittal	11747	NM_009673
11534	Anxa5	annexin A5	79488933	coronal	11747	NM_009673
11536	Anxa6	annexin A6	69526671	sagittal	11749	NM_013472
11536	Anxa6	annexin A6	77332100	coronal	11749	NM_013472
11537	Anxa7	annexin A7	71495771	sagittal	11750	NM_009674
11539	Anxa8	annexin A8	71616349	sagittal	11752	NM_013473
11541	Aoc3	amine oxidase, copper containing 3	71495777	sagittal	11754	NM_009675
11544	Prdx3	peroxiredoxin 3	633302	sagittal	11757	NM_007452
11544	Prdx3	peroxiredoxin 3	70743842	coronal	11757	NM_007452
11545	Prdx6	peroxiredoxin 6	686199	sagittal	11758	NM_007453
11548	Aox1	aldehyde oxidase 1	68563013	sagittal	11761	NM_009676
11548	Aox1	aldehyde oxidase 1	74425525	coronal	11761	NM_009676
11551	Ap1b1	adaptor protein complex AP-1, beta 1 subunit	356859	coronal	11764	NM_007454
11551	Ap1b1	adaptor protein complex AP-1, beta 1 subunit	76081931	sagittal	11764	NM_007454
11551	Ap1b1	adaptor protein complex AP-1, beta 1 subunit	77869778	coronal	11764	NM_007454
11552	Ap1g1	adaptor protein complex AP-1, gamma 1 subunit	71280550	sagittal	11765	NM_009677
11553	Ap1g2	adaptor protein complex AP-1, gamma 2 subunit	69526701	sagittal	11766	NM_007455
11554	Ap1m1	adaptor-related protein complex AP-1, mu subunit 1	71610778	sagittal	11767	NM_007456
11555	Ap1m2	adaptor protein complex AP-1, mu 2 subunit	79749604	sagittal	11768	NM_009678
11556	Ap1s1	adaptor protein complex AP-1, sigma 1	69526707	sagittal	11769	NM_007457
11557	Fabp4	fatty acid binding protein 4, adipocyte	74821969	sagittal	11770	NM_024406
11558	Ap2a1	adaptor protein complex AP-2, alpha 1 subunit	69015655	sagittal	11771	NM_007458
11559	Ap2a2	adaptor protein complex AP-2, alpha 2 subunit	69838359	sagittal	11772	NM_007459
11559	Ap2a2	adaptor protein complex AP-2, alpha 2 subunit	74819476	coronal	11772	NM_007459
11560	Ap2m1	adaptor protein complex AP-2, mu1	101	sagittal	11773	NM_009679
11560	Ap2m1	adaptor protein complex AP-2, mu1	102	sagittal	11773	NM_009679
11561	Ap3b1	adaptor-related protein complex 3, beta 1 subunit	69059806	sagittal	11774	NM_009680
11562	Ap3b2	adaptor-related protein complex 3, beta 2 subunit	74514117	sagittal	11775	XM_358374
11563	Ap3d1	adaptor-related protein complex 3, delta 1 subunit	68924799	sagittal	11776	NM_007460
11564	Ap3s1	adaptor-related protein complex 3, sigma 1 subunit	68301270	sagittal	11777	NM_009681
11564	Ap3s1	adaptor-related protein complex 3, sigma 1 subunit	73512483	coronal	11777	NM_009681
11565	Ap3s2	adaptor-related protein complex 3, sigma 2 subunit	71495789	sagittal	11778	NM_009682
11566	Ap4b1	adaptor-related protein complex AP-4, beta 1	70230951	sagittal	11779	NM_019504
11568	Ap4m1	adaptor-related protein complex AP-4, mu 1	686196	sagittal	11781	NM_021392
11569	Ap4s1	adaptor-related protein complex AP-4, sigma 1	513248	sagittal	11782	NM_021710
11570	Apaf1	apoptotic peptidase activating factor 1	68745275	sagittal	11783	NM_009684
11571	Apba2	amyloid beta (A4) precursor protein-binding, family A, member 2	2031	coronal	11784	NM_007461
11571	Apba2	amyloid beta (A4) precursor protein-binding, family A, member 2	2032	sagittal	11784	NM_007461
11572	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	2033	coronal	11785	NM_009685
11572	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	2034	sagittal	11785	NM_009685
11574	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	69526719	sagittal	11787	NM_009686
11574	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	72128788	coronal	11787	NM_009686
11576	Apc	adenomatosis polyposis coli	69526725	sagittal	11789	NM_007462
11576	Apc	adenomatosis polyposis coli	74881517	coronal	11789	NM_007462
11577	Speg	SPEG complex locus	69526743	sagittal	11790	NM_007463
