"gene name","gene symbol","entrez"
"aminolevulinate, delta-, synthase 1","ALAS1",211
"aminolevulinate, delta-, synthase 2","ALAS2",212
"albumin","ALB",213
"activated leukocyte cell adhesion molecule","ALCAM",214
"ATP-binding cassette, sub-family D (ALD), member 1","ABCD1",215
"aldehyde dehydrogenase 1 family, member A1","ALDH1A1",216
"aldehyde dehydrogenase 2 family (mitochondrial)","ALDH2",217
"aldehyde dehydrogenase 3 family, member A1","ALDH3A1",218
"aldehyde dehydrogenase 1 family, member B1","ALDH1B1",219
"aldehyde dehydrogenase 1 family, member A3","ALDH1A3",220
"aldehyde dehydrogenase 3 family, member B1","ALDH3B1",221
"aldehyde dehydrogenase 3 family, member B2","ALDH3B2",222
"aldehyde dehydrogenase 9 family, member A1","ALDH9A1",223
"aldehyde dehydrogenase 3 family, member A2","ALDH3A2",224
"ATP-binding cassette, sub-family D (ALD), member 2","ABCD2",225
"aldolase A, fructose-bisphosphate","ALDOA",226
"aldolase B, fructose-bisphosphate","ALDOB",229
"aldolase C, fructose-bisphosphate","ALDOC",230
"aldo-keto reductase family 1, member B1 (aldose reductase)","AKR1B1",231
"anaplastic lymphoma receptor tyrosine kinase","ALK",238
"arachidonate 12-lipoxygenase","ALOX12",239
"arachidonate 5-lipoxygenase","ALOX5",240
"arachidonate 5-lipoxygenase-activating protein","ALOX5AP",241
"arachidonate 12-lipoxygenase, 12R type","ALOX12B",242
"arachidonate 12-lipoxygenase pseudogene 2","ALOX12P2",245
"arachidonate 15-lipoxygenase","ALOX15",246
"arachidonate 15-lipoxygenase, type B","ALOX15B",247
"alkaline phosphatase, intestinal","ALPI",248
"alkaline phosphatase, liver/bone/kidney","ALPL",249
"alkaline phosphatase, placental","ALPP",250
"alkaline phosphatase, placental-like 2","ALPPL2",251
"ALX homeobox 3","ALX3",257
"ameloblastin (enamel matrix protein)","AMBN",258
"alpha-1-microglobulin/bikunin precursor","AMBP",259
"adenosylmethionine decarboxylase 1","AMD1",262
"amelogenin, X-linked","AMELX",265
"amelogenin, Y-linked","AMELY",266
"autocrine motility factor receptor, E3 ubiquitin protein ligase","AMFR",267
"anti-Mullerian hormone","AMH",268
"anti-Mullerian hormone receptor, type II","AMHR2",269
"adenosine monophosphate deaminase 1","AMPD1",270
"adenosine monophosphate deaminase 2","AMPD2",271
"adenosine monophosphate deaminase 3","AMPD3",272
"amphiphysin","AMPH",273
"bridging integrator 1","BIN1",274
"aminomethyltransferase","AMT",275
"amylase, alpha 1B (salivary)","AMY1B",277
"amylase, alpha 2A (pancreatic)","AMY2A",279
"angiogenin, ribonuclease, RNase A family, 5","ANG",283
"angiopoietin 1","ANGPT1",284
"angiopoietin 2","ANGPT2",285
"ankyrin 1, erythrocytic","ANK1",286
"ankyrin 2, neuronal","ANK2",287
"ankyrin 3, node of Ranvier (ankyrin G)","ANK3",288
"alanyl (membrane) aminopeptidase","ANPEP",290
"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4","SLC25A4",291
"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5","SLC25A5",292
"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6","SLC25A6",293
"annexin A1","ANXA1",301
"annexin A2","ANXA2",302
"annexin A2 pseudogene 1","ANXA2P1",303
"annexin A2 pseudogene 3","ANXA2P3",305
"annexin A3","ANXA3",306
"annexin A4","ANXA4",307
"annexin A5","ANXA5",308
"annexin A6","ANXA6",309
"annexin A7","ANXA7",310
"annexin A11","ANXA11",311
"annexin A13","ANXA13",312
"acyloxyacyl hydrolase (neutrophil)","AOAH",313
"amine oxidase, copper containing 2 (retina-specific)","AOC2",314
"aldehyde oxidase 1","AOX1",316
"apoptotic peptidase activating factor 1","APAF1",317
"nudix (nucleoside diphosphate linked moiety X)-type motif 2","NUDT2",318
"apolipoprotein F","APOF",319
"amyloid beta (A4) precursor protein-binding, family A, member 1","APBA1",320
"amyloid beta (A4) precursor protein-binding, family A, member 2","APBA2",321
"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)","APBB1",322
"amyloid beta (A4) precursor protein-binding, family B, member 2","APBB2",323
"adenomatous polyposis coli","APC",324
"amyloid P component, serum","APCS",325
"autoimmune regulator","AIRE",326
"N-acylaminoacyl-peptide hydrolase","APEH",327
"APEX nuclease (multifunctional DNA repair enzyme) 1","APEX1",328
"baculoviral IAP repeat containing 2","BIRC2",329
"baculoviral IAP repeat containing 3","BIRC3",330
"X-linked inhibitor of apoptosis","XIAP",331
"baculoviral IAP repeat containing 5","BIRC5",332
"amyloid beta (A4) precursor-like protein 1","APLP1",333
"amyloid beta (A4) precursor-like protein 2","APLP2",334
"apolipoprotein A-I","APOA1",335
"apolipoprotein A-II","APOA2",336
"apolipoprotein A-IV","APOA4",337
"apolipoprotein B (including Ag(x) antigen)","APOB",338
"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1","APOBEC1",339
"apolipoprotein C-I","APOC1",341
"aquaporin 8","AQP8",343
"apolipoprotein C-II","APOC2",344
"apolipoprotein C-III","APOC3",345
"apolipoprotein C-IV","APOC4",346
"apolipoprotein D","APOD",347
"apolipoprotein E","APOE",348
"apolipoprotein H (beta-2-glycoprotein I)","APOH",350
"amyloid beta (A4) precursor protein","APP",351
"adenine phosphoribosyltransferase","APRT",353
"kallikrein-related peptidase 3","KLK3",354
"Fas (TNF receptor superfamily, member 6)","FAS",355
"Fas ligand (TNF superfamily, member 6)","FASLG",356
"shroom family member 2","SHROOM2",357
"aquaporin 1 (Colton blood group)","AQP1",358
"aquaporin 2 (collecting duct)","AQP2",359
"aquaporin 3 (Gill blood group)","AQP3",360
"aquaporin 4","AQP4",361
"aquaporin 5","AQP5",362
"aquaporin 6, kidney specific","AQP6",363
"aquaporin 7","AQP7",364
"aquaporin 9","AQP9",366
"androgen receptor","AR",367
"ATP-binding cassette, sub-family C (CFTR/MRP), member 6","ABCC6",368
"v-raf murine sarcoma 3611 viral oncogene homolog","ARAF",369
"archain 1","ARCN1",372
"tripartite motif containing 23","TRIM23",373
"amphiregulin","AREG",374
"ADP-ribosylation factor 1","ARF1",375
"ADP-ribosylation factor 3","ARF3",377
"ADP-ribosylation factor 4","ARF4",378
"ADP-ribosylation factor-like 4D","ARL4D",379
"ADP-ribosylation factor 5","ARF5",381
"ADP-ribosylation factor 6","ARF6",382
"arginase, liver","ARG1",383
"arginase, type II","ARG2",384
"ras homolog family member A","RHOA",387
"ras homolog family member B","RHOB",388
"ras homolog family member C","RHOC",389
"Rho family GTPase 3","RND3",390
"ras homolog family member G","RHOG",391
"Rho GTPase activating protein 1","ARHGAP1",392
"Rho GTPase activating protein 4","ARHGAP4",393
"Rho GTPase activating protein 5","ARHGAP5",394
"Rho GTPase activating protein 6","ARHGAP6",395
"Rho GDP dissociation inhibitor (GDI) alpha","ARHGDIA",396
"Rho GDP dissociation inhibitor (GDI) beta","ARHGDIB",397
"Rho GDP dissociation inhibitor (GDI) gamma","ARHGDIG",398
"ras homolog family member H","RHOH",399
"ADP-ribosylation factor-like 1","ARL1",400
"paired-like homeobox 2a","PHOX2A",401
"ADP-ribosylation factor-like 2","ARL2",402
"ADP-ribosylation factor-like 3","ARL3",403
"aryl hydrocarbon receptor nuclear translocator","ARNT",405
"aryl hydrocarbon receptor nuclear translocator-like","ARNTL",406
"arrestin 3, retinal (X-arrestin)","ARR3",407
"arrestin, beta 1","ARRB1",408
"arrestin, beta 2","ARRB2",409
"arylsulfatase A","ARSA",410
"arylsulfatase B","ARSB",411
"steroid sulfatase (microsomal), isozyme S","STS",412
"arylsulfatase D","ARSD",414
"arylsulfatase E (chondrodysplasia punctata 1)","ARSE",415
"arylsulfatase F","ARSF",416
"ADP-ribosyltransferase 1","ART1",417
"ADP-ribosyltransferase 3","ART3",419
"ADP-ribosyltransferase 4 (Dombrock blood group)","ART4",420
"armadillo repeat gene deleted in velocardiofacial syndrome","ARVCF",421
"N-acylsphingosine amidohydrolase (acid ceramidase) 1","ASAH1",427
"achaete-scute complex homolog 1 (Drosophila)","ASCL1",429
"achaete-scute complex homolog 2 (Drosophila)","ASCL2",430
"asialoglycoprotein receptor 1","ASGR1",432
"asialoglycoprotein receptor 2","ASGR2",433
"agouti signaling protein","ASIP",434
"argininosuccinate lyase","ASL",435
"acetylserotonin O-methyltransferase","ASMT",438
"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)","ASNA1",439
"asparagine synthetase (glutamine-hydrolyzing)","ASNS",440
"aspartoacylase","ASPA",443
"aspartate beta-hydroxylase","ASPH",444
"argininosuccinate synthase 1","ASS1",445
"astrotactin 1","ASTN1",460
"serpin peptidase inhibitor, clade C (antithrombin), member 1","SERPINC1",462
"zinc finger homeobox 3","ZFHX3",463
"activating transcription factor 1","ATF1",466
"activating transcription factor 3","ATF3",467
"activating transcription factor 4 (tax-responsive enhancer element B67)","ATF4",468
"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","ATIC",471
"arginine-glutamic acid dipeptide (RE) repeats","RERE",473
"atonal homolog 1 (Drosophila)","ATOH1",474
"ATX1 antioxidant protein 1 homolog (yeast)","ATOX1",475
"ATPase, Na+/K+ transporting, alpha 1 polypeptide","ATP1A1",476
"ATPase, Na+/K+ transporting, alpha 2 polypeptide","ATP1A2",477
"ATPase, Na+/K+ transporting, alpha 3 polypeptide","ATP1A3",478
"ATPase, H+/K+ transporting, nongastric, alpha polypeptide","ATP12A",479
"ATPase, Na+/K+ transporting, alpha 4 polypeptide","ATP1A4",480
"ATPase, Na+/K+ transporting, beta 1 polypeptide","ATP1B1",481
"ATPase, Na+/K+ transporting, beta 2 polypeptide","ATP1B2",482
"ATPase, Na+/K+ transporting, beta 3 polypeptide","ATP1B3",483
"FXYD domain containing ion transport regulator 2","FXYD2",486
"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1","ATP2A1",487
"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2","ATP2A2",488
"ATPase, Ca++ transporting, ubiquitous","ATP2A3",489
"ATPase, Ca++ transporting, plasma membrane 1","ATP2B1",490
"ATPase, Ca++ transporting, plasma membrane 2","ATP2B2",491
"ATPase, Ca++ transporting, plasma membrane 3","ATP2B3",492
"ATPase, Ca++ transporting, plasma membrane 4","ATP2B4",493
"ATPase, H+/K+ exchanging, alpha polypeptide","ATP4A",495
"ATPase, H+/K+ exchanging, beta polypeptide","ATP4B",496
"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle","ATP5A1",498
"aldehyde dehydrogenase 7 family, member A1","ALDH7A1",501
"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide","ATP5B",506
"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1","ATP5C1",509
"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit","ATP5D",513
"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit","ATP5E",514
"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1","ATP5F1",515
"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)","ATP5G1",516
"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)","ATP5G2",517
"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)","ATP5G3",518
"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E","ATP5I",521
"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6","ATP5J",522
"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A","ATP6V1A",523
"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1","ATP6V1B1",525
"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2","ATP6V1B2",526
"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c","ATP6V0C",527
"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1","ATP6V1C1",528
"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1","ATP6V1E1",529
"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b","ATP6V0B",533
"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2","ATP6V1G2",534
"ATPase, H+ transporting, lysosomal V0 subunit a1","ATP6V0A1",535
"ATPase, H+ transporting, lysosomal accessory protein 1","ATP6AP1",537
"ATPase, Cu++ transporting, alpha polypeptide","ATP7A",538
"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit","ATP5O",539
"ATPase, Cu++ transporting, beta polypeptide","ATP7B",540
"ataxia telangiectasia and Rad3 related","ATR",545
"alpha thalassemia/mental retardation syndrome X-linked","ATRX",546
"kinesin family member 1A","KIF1A",547
"AU RNA binding protein/enoyl-CoA hydratase","AUH",549
"ancient ubiquitous protein 1","AUP1",550
"arginine vasopressin","AVP",551
"arginine vasopressin receptor 1A","AVPR1A",552
"arginine vasopressin receptor 1B","AVPR1B",553
"arginine vasopressin receptor 2","AVPR2",554
"AXL receptor tyrosine kinase","AXL",558
"alpha-2-glycoprotein 1, zinc-binding","AZGP1",563
"azurocidin 1","AZU1",566
"beta-2-microglobulin","B2M",567
"bile acid CoA: amino acid N-acyltransferase (glycine N-choloyltransferase)","BAAT",570
"BTB and CNC homology 1, basic leucine zipper transcription factor 1","BACH1",571
"BCL2-associated agonist of cell death","BAD",572
"BCL2-associated athanogene","BAG1",573
"B melanoma antigen","BAGE",574
"brain-specific angiogenesis inhibitor 1","BAI1",575
"brain-specific angiogenesis inhibitor 2","BAI2",576
"brain-specific angiogenesis inhibitor 3","BAI3",577
"BCL2-antagonist/killer 1","BAK1",578
"NK3 homeobox 2","NKX3-2",579
"BRCA1 associated RING domain 1","BARD1",580
"BCL2-associated X protein","BAX",581
"Bardet-Biedl syndrome 1","BBS1",582
"Bardet-Biedl syndrome 2","BBS2",583
"Bardet-Biedl syndrome 4","BBS4",585
"branched chain amino-acid transaminase 1, cytosolic","BCAT1",586
"branched chain amino-acid transaminase 2, mitochondrial","BCAT2",587
"butyrylcholinesterase","BCHE",590
"branched chain keto acid dehydrogenase E1, alpha polypeptide","BCKDHA",593
"branched chain keto acid dehydrogenase E1, beta polypeptide","BCKDHB",594
"cyclin D1","CCND1",595
"B-cell CLL/lymphoma 2","BCL2",596
"BCL2-related protein A1","BCL2A1",597
"BCL2-like 1","BCL2L1",598
"BCL2-like 2","BCL2L2",599
"B-cell CLL/lymphoma 3","BCL3",602
"B-cell CLL/lymphoma 6","BCL6",604
"B-cell CLL/lymphoma 7A","BCL7A",605
"B-cell CLL/lymphoma 9","BCL9",607
"tumor necrosis factor receptor superfamily, member 17","TNFRSF17",608
"hyperpolarization activated cyclic nucleotide-gated potassium channel 2","HCN2",610
"opsin 1 (cone pigments), short-wave-sensitive","OPN1SW",611
"breakpoint cluster region","BCR",613
"BCS1-like (S. cerevisiae)","BCS1L",617
"3-hydroxybutyrate dehydrogenase, type 1","BDH1",622
"bradykinin receptor B1","BDKRB1",623
"bradykinin receptor B2","BDKRB2",624
"brain-derived neurotrophic factor","BDNF",627
"complement factor B","CFB",629
"beaded filament structural protein 1, filensin","BFSP1",631
"bone gamma-carboxyglutamate (gla) protein","BGLAP",632
"biglycan","BGN",633
"carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)","CEACAM1",634
"betaine--homocysteine S-methyltransferase","BHMT",635
"bicaudal D homolog 1 (Drosophila)","BICD1",636
"BH3 interacting domain death agonist","BID",637
"BCL2-interacting killer (apoptosis-inducing)","BIK",638
"PR domain containing 1, with ZNF domain","PRDM1",639
"B lymphoid tyrosine kinase","BLK",640
"Bloom syndrome, RecQ helicase-like","BLM",641
"bleomycin hydrolase","BLMH",642
"chemokine (C-X-C motif) receptor 5","CXCR5",643
"biliverdin reductase A","BLVRA",644
"biliverdin reductase B (flavin reductase (NADPH))","BLVRB",645
"basonuclin 1","BNC1",646
"BMI1 polycomb ring finger oncogene","BMI1",648
"bone morphogenetic protein 1","BMP1",649
"bone morphogenetic protein 2","BMP2",650
"bone morphogenetic protein 3","BMP3",651
"bone morphogenetic protein 4","BMP4",652
"bone morphogenetic protein 5","BMP5",653
"bone morphogenetic protein 6","BMP6",654
"bone morphogenetic protein 7","BMP7",655
"bone morphogenetic protein 8b","BMP8B",656
"bone morphogenetic protein receptor, type IA","BMPR1A",657
"bone morphogenetic protein receptor, type IB","BMPR1B",658
"bone morphogenetic protein receptor, type II (serine/threonine kinase)","BMPR2",659
"BMX non-receptor tyrosine kinase","BMX",660
"polymerase (RNA) III (DNA directed) polypeptide D, 44kDa","POLR3D",661
"BCL2/adenovirus E1B 19kDa interacting protein 1","BNIP1",662
"BCL2/adenovirus E1B 19kDa interacting protein 2","BNIP2",663
"BCL2/adenovirus E1B 19kDa interacting protein 3","BNIP3",664
"BCL2/adenovirus E1B 19kDa interacting protein 3-like","BNIP3L",665
"BCL2-related ovarian killer","BOK",666
"dystonin","DST",667
"forkhead box L2","FOXL2",668
"2,3-bisphosphoglycerate mutase","BPGM",669
"biphenyl hydrolase-like (serine hydrolase)","BPHL",670
"bactericidal/permeability-increasing protein","BPI",671
"breast cancer 1, early onset","BRCA1",672
"v-raf murine sarcoma viral oncogene homolog B1","BRAF",673
"breast cancer 2, early onset","BRCA2",675
"bromodomain, testis-specific","BRDT",676
"zinc finger protein 36, C3H type-like 1","ZFP36L1",677
"zinc finger protein 36, C3H type-like 2","ZFP36L2",678
"bombesin-like receptor 3","BRS3",680
"basigin (Ok blood group)","BSG",682
"bone marrow stromal cell antigen 1","BST1",683
"bone marrow stromal cell antigen 2","BST2",684
"betacellulin","BTC",685
"biotinidase","BTD",686
"Kruppel-like factor 9","KLF9",687
"Kruppel-like factor 5 (intestinal)","KLF5",688
"basic transcription factor 3","BTF3",689
"basic transcription factor 3 pseudogene 11","BTF3P11",690
"B-cell translocation gene 1, anti-proliferative","BTG1",694
"Bruton agammaglobulinemia tyrosine kinase","BTK",695
"butyrophilin, subfamily 1, member A1","BTN1A1",696
"budding uninhibited by benzimidazoles 1 homolog (yeast)","BUB1",699
"budding uninhibited by benzimidazoles 1 homolog beta (yeast)","BUB1B",701
"bystin-like","BYSL",705
"translocator protein (18kDa)","TSPO",706
"complement component 1, q subcomponent binding protein","C1QBP",708
"serpin peptidase inhibitor, clade G (C1 inhibitor), member 1","SERPING1",710
"ERC2 intronic transcript 1 (non-protein coding)","ERC2-IT1",711
"complement component 1, q subcomponent, A chain","C1QA",712
"complement component 1, q subcomponent, B chain","C1QB",713
"complement component 1, q subcomponent, C chain","C1QC",714
"complement component 1, r subcomponent","C1R",715
"complement component 1, s subcomponent","C1S",716
"complement component 2","C2",717
"complement component 3","C3",718
"complement component 3a receptor 1","C3AR1",719
"complement component 4A (Rodgers blood group)","C4A",720
"complement component 4 binding protein, alpha","C4BPA",722
"complement component 4 binding protein, beta","C4BPB",725
"calpain 5","CAPN5",726
"complement component 5","C5",727
"complement component 5a receptor 1","C5AR1",728
"complement component 6","C6",729
"complement component 7","C7",730
"complement component 8, alpha polypeptide","C8A",731
"complement component 8, beta polypeptide","C8B",732
"complement component 8, gamma polypeptide","C8G",733
"oxidative stress induced growth inhibitor family member 2","OSGIN2",734
"complement component 9","C9",735
"mitochondrial ribosomal protein L49","MRPL49",740
"zinc finger, HIT-type containing 2","ZNHIT2",741
"metallophosphoesterase domain containing 2","MPPED2",744
"chromosome 11 open reading frame 9","C11orf9",745
"chromosome 11 open reading frame 10","C11orf10",746
"diacylglycerol lipase, alpha","DAGLA",747
"chromosome 16 open reading frame 3","C16orf3",750
"formin-like 1","FMNL1",752
"chromosome 18 open reading frame 1","C18orf1",753
"pituitary tumor-transforming 1 interacting protein","PTTG1IP",754
"chromosome 21 open reading frame 2","C21orf2",755
"transmembrane protein 50B","TMEM50B",757
"metallophosphoesterase domain containing 1","MPPED1",758
"carbonic anhydrase I","CA1",759
"carbonic anhydrase II","CA2",760
"carbonic anhydrase III, muscle specific","CA3",761
"carbonic anhydrase IV","CA4",762
"carbonic anhydrase VA, mitochondrial","CA5A",763
"carbonic anhydrase VI","CA6",765
"carbonic anhydrase VII","CA7",766
"carbonic anhydrase VIII","CA8",767
"carbonic anhydrase IX","CA9",768
"carbonic anhydrase XI","CA11",770
"carbonic anhydrase XII","CA12",771
"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit","CACNA1A",773
